log,X,Y,cluster
body settling in a little   feeling pressure in the feet ,13.070660094295675,6.598622674948239,18
release in the left pelvis ,13.027871097023528,12.92633958724225,18
setting intention ,-19.31722006593589,-3.208017009175044,7
begin session ,17.27869663038309,15.13569595467733,15
setting intention ,8.644228741774302,-21.68469043777348,2
begin session ,1.2288471175941764,20.533956839001902,8
sudden expansion into soft j4 mental state  with the body feeling a soft warm heaviness as of metta,13.654573399258958,21.793772415655106,6
"a few visual glitches (""time vibrating"")",16.171448687671468,22.605472276490573,6
unlatch ,20.307668293029472,14.642291587178306,18
setting intention ,15.551255508393076,-15.31536334521384,3
starting session ,24.39373325406501,-8.696792806946338,6
running shadows in open eye visuals. large but rather pale nimitta ,8.573158162411396,5.722936857416173,8
objects drifting into each other ,-0.4975139454681984,23.8746167169204,8
watching the flame and the surrounding visuals ,12.95990094860869,19.72165536786147,15
blurring and disappearing boundaries between objects ,-3.310478132568455,12.480660554436968,0
entire visual field darkening clouding and mottling over ,6.652395636955859,-11.86794538623998,4
trying to disappear a background object ,6.515995756425307,11.540191973819322,0
watching just the flame ,0.6780131750902857,-8.121971993305932,5
projecting the dot onto the field ,-0.8890093156195729,16.793704535009176,0
bold colour wash  sudden drop into soft j3  moderate head piti,2.3661320619696906,23.68837724751015,8
unlatch,7.176724072016594,5.427629421569775,4
setting intention ,-11.44881310916072,4.616892677194762,1
starting session ,-4.766839396742674,-1.2342039523663102,18
sudden drop into j3. body very still ,-13.932457774082556,1.906704126600135,1
the unsettling piti has returned ,-17.332367368827704,-16.039929880161132,7
real life objects floating vaguely in 3D space in my closed eye field. mundane objects but feel vaguely ominous ,2.209994686707845,10.42751313729429,4
spontaneous piti  still with a slight unsettling flavor ,2.602462910035756,-12.895766178590335,3
mild head dropping but not sleepy (awareness is clear),-9.371056842410628,1.0445491252109438,7
just came out of a rather abrupt  very sleepy head drop,-22.91892013077596,7.167879982038484,16
pinball ricochet feel in the body,-9.403842427266603,3.174443378865857,7
intentional entry into j3 ,-19.11511133359204,11.734439383255406,5
setting intention ,-2.959334161015028,13.17894572288638,19
begin session ,-20.38986739558952,-9.063092554827318,16
relaxed and slightly sleepy ,-17.161517769714866,8.892559299667697,5
I have no idea where thoughts come from. reflecting on mutual dependence of thought objects and clinging to thoughts ,-19.675641292824125,3.749494653554466,1
releasing clinging to visual field as object. produces sympathetic chills through the body  like piti waves except they are unsettling (butterflies in stomach kind of unsettling),-12.282155734751772,1.913665496829135,1
mild diffuse pleasant piti is morphing into deeper bubbling body shakes - somewhat unpleasant. feels over energised,-18.84789838249093,16.369431384178462,9
opening eyes. reground in 5 senses ,-28.86105654707845,-9.737822864439645,16
unlatching from all senses ,12.689327544862792,18.450364837215545,2
small faint nimitta  40cm dia,7.01902817750183,8.385343576244802,4
"3d visual vibrations throughout ""empty space"" in the room",9.005596087943003,-6.960434826624453,3
seeing afterimages of objects ,-1.634879507334148,23.313581533714707,8
trembling flowing visual static  multi-directional,-0.0918088278247292,-4.485575861553054,9
sudden and brief visual distortions - stuff rushing towards me  got very close to my face,11.60593936681804,21.242552795765405,10
starting to feel very mild tingles on right side of body  particularly hand and leg ,-1.7914190357837227,18.2578070771866,0
left shoulder release ,9.69991254251508,22.061942260744623,8
visual vibrations getting slightly darker  shadows creeping in from peripheral vision  ,-10.113963272334344,22.49489820155769,9
left eye vision clouding over slightly ,-11.254111978217171,20.12117296707958,9
nimitta still faint but now about 3m dia,-4.1166667125618455,24.292043893613634,8
edges of objects wisping off into vibrations like smoke,0.8374792348692084,26.76985080077216,8
 right shoulder tension release ,9.651348167778648,25.4093216843284,6
objects mildly drifting away from each other ,-5.952464786746345,23.753009777467604,8
flashing fire kasina visual-like thing out of left top corner of the field  approx 50cm dia  light blue or cyan colour,-8.920024467014962,23.83997782957939,9
flashing thing now becoming a diagonal colour wash  bright and rapid  covering about 60-80 degrees left of centre,-12.43006617026084,22.01748454779607,9
somatic: pulsing sensation in bottom outside corner of left eye,-6.820700777039267,19.340211383922927,9
the left color wash now synchronised with signed up with a somatic sense of the left cheek (just beneath left eye) brushing up and down ,-8.533002408873486,22.100318114202075,9
sounds: right ear soft high-pitched whining,2.6677537997602587,-8.214776768204151,7
sound pivoted to the left and then both sides ,-6.058986235678521,22.411721909159223,8
visuals are trembling and boundaries increasingly blurred  I think things are going to start disappearing ,-6.476063011993012,24.951489651875583,8
boundaries dissolving between objects of similar colours ,-5.611334226423699,25.038833030781944,8
visual: things drifting around and away from each other in slow spiral motions,-4.559957858908554,23.64061715761924,8
sudden single ripple of entire visual field  diagonal from top right to bottom left (I think) ,-11.993764339481402,22.480052041144063,9
gentle trembling of entire visual field,-11.498994909665456,25.42311503581301,8
mild full body tingles with drifting visuals ,-11.964579970109664,19.35521241778812,9
visuals: blotchy striped pattern,11.386811507746549,-26.55220593207655,2
chest release,12.177206838129145,-26.41725731082717,2
right shoulder insides shifting in minute movements ,13.328046661585562,-25.666222510963397,12
mild but very pleasant tingles down the right leg  especially calf ,11.496154681133456,9.23537187153802,6
very mild tingles on entire right side of body  head to toe ,20.27976649271021,-22.213025054293965,12
mild visual distortions - objects stretching and shifting positions in a swaying motion ,11.562915726306231,9.069507814698085,6
sounds: sudden change in left ear to single pure tone  shortly followed by right ear,11.47045660287773,-25.06442640300745,2
setting intention ,19.70231131280947,19.414101221154255,6
start session ,0.4976242778271438,-13.96895932196961,7
lots of trying to notice phenomena/effects in order to log them  especially visual ,22.41346116410719,-9.261656695340688,17
stream of excited or whimsical thoughts about meditation ,22.02255532396889,-4.314183713532827,17
many rapid fire verbal thoughts about how to do nothing (identifying subtle kinds of doing),24.94054833711113,-1.9465129733628228,14
 keep wanting to apply a technique rather than do nothing,10.668953023812124,14.015999872342825,15
significant 3D drifting of entire visual field. field patterning over. some sympathetic body vibrations ,24.448332771790508,-11.580438526480082,17
setting intention ,-3.514488124322743,18.889529076513625,13
starting session ,-11.488291244782785,5.762113585141472,1
disappearing open eye visual objects,-0.3305834394207977,17.72998427015881,0
setting intention ,-9.634373049942086,11.021178020587092,0
begin session ,16.41802374126743,12.3245044462887,15
open eye visual field: fairly strong vibrations. flame is twitching ,-7.794688683255242,5.96529347531196,5
open eye: some visual clouding. Light grey colored fog covering entire visual field  about 20% opacity,6.045485787270814,-18.105732246134263,4
 entire open eye visual field drifting and distorting  and switching to a 2D relief-like effect . hard to focus on the flame  hard to generate afterimage!,-1.6478715641375548,-8.601350960404298,3
closed eye: dot naturally resting at 11:30 ,2.342931798208222,2.93632618389672,4
opening eyes to refresh the flame ,-21.08722323668015,-16.98112989447874,13
closed eye  trying to nudge the dot to the right side of visual field,3.931623586202919,-26.01826272821216,2
dot at 12:30 a.m. still takes effort to keep it there  but it's not drifting leftwards as much as it did earlier,24.16705036209638,-16.97623193393217,12
"open eye: visuals gettin more dramatic. the flame has replicated itself at last 5 times  several copies standing  at both the left and right side o the ""actual"" flame",11.488776276863272,9.182266970489314,2
setting intention ,-14.579662232280894,-12.700950217746255,7
began session,-21.05013925869904,-8.380407075050071,16
body relaxed but head feeling unusually heavy ,-20.881028225771324,-12.67583113124726,13
eyes closed. rapid shimmering flickering in top 15% of visual field and also top left qnd right in a rainbow like arc,9.058373838248784,3.935300986178568,4
insight ,-19.780060939649328,-16.890325979069647,13
Pleasant tingles in both hands but especially right hand and arm ,-28.551311882686903,-7.814612566710849,16
insight ,-28.81769160407958,-4.592119063352229,16
head very gently swaying/bobbing side to side on its own. very light  floating . swaying at the rate of once a second (one second left side  one second right....),-17.41437238936889,-16.998253670613767,13
insight ,-27.58689242475529,-5.602882311095396,16
head swaying reducing ,-15.128524690244934,-12.121705439347512,7
insight ,-19.618615976698504,-13.33386071141987,16
just enjoying the thoughts that come to me,-16.386373609077033,-12.585656273169535,7
Opened the Eyes ,-7.59076143435565,-15.883882898018976,11
insight ,-27.62892821031613,-4.771025725672798,16
insight ,-6.244938949510219,-14.700142709111724,11
Shivers through the body almost as of fear ,-20.648138735608786,-10.31924036469576,11
insight ,-25.5952367328611,-9.193295823983354,16
finished with a Gloria Patri. gentle gratitude in my heart  felt a warm heaviness ,-23.666873553155547,0.8685642288335403,16
setting intention ,12.308659594104398,25.388773361413115,6
begin session. building energy in root chakra,-17.92724164343374,21.977424390365755,9
sending it up to the second chakra ,8.405622707482905,24.942291875846387,10
rapid heartbeat-like pulse across most of the body  but mostly focused in the abdomen area ,-7.360890289325673,19.038489588792263,9
sending to the third chakra ,-0.6607152161214018,16.74695593206487,0
almost 3rd shamatha jhana like stillness in the central column,-5.564658070141334,25.554163392362103,8
generating more energy at the root ,-8.211380996781594,26.44940907410367,9
 visual vibrations growing strong. some mottling and clouding over entire visual field ,-0.6182706602577824,18.56503021403921,8
sending to the fourth chakra ,-0.4303936889684455,17.384505430809625,0
felt a calm  gentle  warm heaviness in the heart ,0.986705886038314,18.271943010004776,0
sending to the fifth chakra ,-5.758950552979883,27.228644076895424,8
strange sense of warm lump in the throat. some pulsing around the whole throat area ,-6.762006016731473,27.26998330031517,8
 mild spontaneous head tingles ,-6.571009995568154,27.818022475612366,8
sending to the sixth chakra ,11.472619735415345,9.862640132712905,18
sense of hearing sharpening  both external and inner sounds,1.8051466218441252,19.195039270046355,0
 slight sense of the energy cycling like a wheel  running up the front of the spine  to the head  and back down in an arc about 30cm in front of body,-12.571899690176137,22.80518837944881,9
sending to the seventh chakra ,10.751070714388373,18.396615910509755,0
spontaneous soft 2nd jhana,-6.349106619763209,14.275587576110391,19
letting energy circulate around the body freely ,-6.549964700629628,27.868687591232348,8
spontaneous vj4.j5 or .j6 ,1.764478438934823,19.88992619846245,0
eyeballs twitching   flickering ,-3.3323910675390795,24.92364196602457,8
gentle warping in perspective/depth in the visual field. background and foreground drifting in different directions ,-3.71288405121771,24.641743930883244,8
re-anchoring in the senses,2.220165072429924,18.27923500088253,0
setting intention ,-11.843281769132211,10.201086973158557,1
begin session ,-9.22969850397016,-10.44938457771659,5
switched from standing/walking to sitting ,-24.365195443656425,-12.728691505133538,11
distracted by YouTube video spontaneously playing,19.90097165350908,-3.4057254932009924,17
setting intention ,15.416722588380134,17.5930816280005,15
starting session ,7.732723025865313,11.932105456077894,0
heart palpitations and labored breathing. gentle slow head rocking ,15.906248734484496,-5.694702687058382,3
mind very speedy at catching the push pull ,23.267353020152587,12.062205315380492,6
sleepy,21.03935115089445,4.316683578151297,10
distracted  hard to focus  sleepy  head gently rocking,13.464815605433712,16.09286232172567,15
head drops at a rate of once every few seconds ,-5.301580134854204,-9.755183497537578,7
hea drops even more frequent. rapid dancing lights in the top third of the closed eye visual field (eyes had closed because sleepy),-7.482827066612101,6.4140461493696765,5
woke to the app bell. visual vibrations noticeable. suddenly refreshed ,23.012436087712395,-3.314877277549978,17
spontaneous piti in both hands ,2.4739541784176984,22.43461664810596,8
trying to spread piti around the body  checking where it is easier or harder ,24.087394110672783,4.889142598564971,10
trying to send a Pity up through my throats into my head ,4.029787214301488,25.906713606964,8
attempting j1 ,18.04935762883804,16.428343734184093,6
attempting j2,-12.091415349778494,8.101776728155233,1
sympathetic vibrations visuals and body  trembling to a heartbeat like rhythm (dark night?) ,28.543654649324672,-0.0798824952251972,14
setting intention ,5.811263656264302,-22.20912484692014,2
begin session ,2.7146957240611216,-4.308635917992393,13
inner sound very strong: moderately high pitch hissing in both ears. visuals immediately growing strong ,6.303134309979678,6.335576735668995,4
strange body sensation- suddenly lightweight and seeming to drive or move backwards a little,-2.431629831714438,22.60226493391801,8
left eyelid pulsing ,-1.8790034271816296,24.967630694899544,8
the tree keeps wanting to disappear into the sky ,6.998175216796995,-5.834781417132717,3
the entire scene outside the window in disappearing and reappearing in gentle  slow pulses,5.081025132023855,5.158521343386793,4
rapid shimmering visual static in space  about 1 meter away from me ,-0.5606611080427584,-16.07742671332547,5
mild tingles in a small spot at the very crown of the head. a bit of tingling in the body ,9.822630687688802,-13.26210259682958,3
setting intention ,-0.1996173344836951,6.440090171782835,4
begin session. do nothing ,23.44120060347769,-11.127108142574627,17
objects disappearing. visual patterns ,16.4597339517925,-7.705316961114269,3
carpet rolling like ocean waves ,9.526665882907466,-6.827993463128451,3
be the plant ,17.201260012303777,-8.827967957314343,3
parts of visual field clouding over and warping as a field ,1.8160094907514992,25.64578422081812,8
sleepy ,17.929809856117988,-9.702589995670978,3
starting to feel very mild tingles on the top right side of head ,16.087753998326825,-1.8642968820635637,3
right shoulder releasing ,16.601522278274455,13.40644659616352,15
left shoulder releasing,21.365951724948754,5.099886478276812,10
starting to feel a mild gathering or density in the belly,17.04715721969912,13.179814084672484,15
setting intention ,-7.812015886620508,-14.6422678348755,11
begin session ,16.58439611369562,-1.5107367333894322,3
eyes gently pulsing 1.5 - 2x / second,-5.319683361887317,-16.005925033627218,7
visuals: gentle 3d static flowing in various directions ,-23.017383653488928,-11.656543371607423,16
vibration is suddely very close to the eyes   within 10 cm ,-15.751766365641611,-11.692953620306522,7
glitches in the flow ,-2.607897189676938,-3.9957563123166167,5
starting Mantra in the background ,-1.4261713479584688,7.678634152194851,4
sleepy ,-22.339063665281003,-9.273471882450709,11
dark shadows across vision top left bottom right ,-1.301875111969444,6.57640633843066,5
visuals: limited objects shape-shifting then disappearing ,19.1967502629668,-7.3296711398792995,11
eyes watering ; still seeing fog and disappearing stuff ,-24.302986365994453,-13.376080547785431,11
mild sense of fear  some shadows ,-5.097149709186259,-4.086902222161903,7
intentionaly looking at vibrations within 10 15 cm of my eyes ,6.603512285299646,-7.3626538360775164,5
somatic: feeling of mild downwards vertigo ,-12.077948477125217,-10.736192748729517,7
warm tingles  mostly upper half of body ,28.1549437465867,3.825602825432525,6
switch to closed eye ,-25.841826410104744,-3.3029147360692623,16
watching gentle pulsing stuff with background geometric pattern and simple colors ,-5.183057101476419,-11.468970180512764,3
seeing the room through closed eyes ,-23.48476553136365,6.986784447116227,16
opening eyes ,-2.929236353365925,-1.8867762119543117,5
strong inner sounds ,-7.0451837049393,-12.36014863344134,7
entire visual field makes a single sudden lurching motion  the top falling backwards  bottom half coming towards me ,-7.151913868359881,-17.87241252807143,7
setting intention,-25.159300060272145,-0.4283057438481825,16
starting session,-11.973463161631733,-1.7855907780240683,7
opening eyes ,-12.079194700824418,-9.436954644628909,9
spontaneous piti  full body,-26.60716987042081,-9.532027229552384,16
setting intention ,-5.155336078332504,13.687071537461472,19
begin session ,-22.978037218740266,3.980484043411464,1
Body has a drumbeat going at 70-80bpm,-1.413308063650356,4.855461569017976,4
visuals are very crisp and a bit cold dark but still not clear ,9.9585526746869,0.1837277031831985,3
eyelids drooping again slightly sleepy ,7.7168937449457555,11.76912535012264,0
closing eyes ,-9.60246929466029,-0.7157559102174627,7
the body randomly starts slightly on its own (not fear or surprise),-16.315088452220053,1.6717291883231988,7
"brief mental and faint 3D image of ""attention returning to the object"" being like multiple flies landing from various directions onto a single object",-17.258551765676273,-10.88028711591362,7
sudden j3 style clarity with most of the visual field blinking rapidly,1.9081897877563951,-1.1618359175543636,4
body very heavy and quiet ,-4.597718491160741,-19.145866563929047,13
unlatch  eyes still closed ,4.481731509002619,15.0013555904112,0
spontaneous piti,-25.18354349237584,-9.148709604116773,16
setting intention ,11.76779801606515,8.98731965769236,6
begin session ,21.007858888660003,-17.456850590242897,12
full visual field swaying side to side like a ship ,20.44532665990561,-22.536539368921787,12
switched from brights light to cool dark visual field  but unusually prominent in forehead / 3rd eye ,18.039908958723725,-22.44010553877326,12
flashes of light ,18.292730459192597,-24.3715684683823,12
visual objects darkening and splitting into rainbow colors (colors on violet end more prominent) and replicating ,19.681077947341368,-20.56496050507605,12
spontaneous very refined frisson brushing down the face ,-1.0199086470319625,-27.744086326435315,13
deliberately widening peripheral vision creates a crisp trembling slightly dark visual field ,12.01393064992167,-20.044565111529867,2
vignette effect after opening eyes ,19.885137284704825,-21.332804310066148,12
luminosity ,19.263951040519885,-22.51100575870857,12
verbal thoughts repeat themselves like a glitch.  hard to do a desired physical action rather than just imagine it,10.42930016485817,-23.25637739964203,2
setting intentions ,9.763469038813582,14.111546891031727,19
begin session ,18.300459619956552,17.039517998477333,15
switch to the breath ,-28.5845758063302,-6.751030830965759,16
spontaneous physical tension release especially on left side ,-26.946820287837355,4.978604028079818,16
setting intentions ,14.886384748005128,5.28718333907508,18
begin session ,8.40556345164769,11.094940483989276,0
fine trembling of visual field ,14.746990465596156,3.305556519839117,3
getting quite cognitive in my inquiry,21.78648746202934,-5.821443976904794,11
sleepy ,-12.484775930427316,21.70672996579109,8
switching to closed eye,-20.19699924234935,10.36220860943347,5
setting intention ,-4.122179637369797,-9.74399509971107,7
begin session ,20.90120774931501,10.51448426711861,10
mild sukha. moderately broad visuals with some patterning and mottling ,17.77282753819411,2.604337278833378,18
moderate clarity in centre of visual field. lightweight dancing stuff at top 10% of visual field. soft rain vibes ,-11.049970354734064,-5.534551306615936,5
3D foreground background drifting of visual field   otherwise crisp ,-3.639588208320488,4.904265064529881,5
body pleasantly centered and calm. mild 3rd shamatha jhana feel (or is it closer to 4th?),10.294447449963076,13.880970980554888,15
eyes are pulsing about once a second ,3.222750885529614,7.621801443443056,4
lots of verbal conversations ,19.654170420920927,14.6454162530022,6
significant 3D drifting and some fading of visual field,-1.7888701923640014,-7.77270392875895,5
oversaturated and patterned visual field ,1.5646151965246464,2.9451593099618973,4
pause labeling for a bit  let the vibes vibe,12.437214937065576,2.955216662959948,18
gently watching closed eye visuals,-22.492255063115145,-11.427579779140068,16
Clarity in the body. some bobbing shaking in the chest and upper region ,-24.62359514904424,2.192965888596447,16
opening eyes  regrounding in the senses,-25.57250070697608,5.523816392059033,16
unlatching from all senses ,-4.471207319439958,-13.627027754070804,7
setting intention ,-1.8330554586602792,10.017372749881252,4
begin session ,0.9571326282719383,15.611304721751328,0
eyes pulsing at about once per second ,6.584782656069213,2.4745200418257487,4
sleepy. closing eyes ,-26.408288012754184,-2.280970315349502,16
closing eyes generates more piti  but awareness is more dreamy and wandering ,-22.85689118111109,-12.617374130202345,11
faint 3rd screen visual that turned scary,15.195483681128158,-9.764658613716335,3
another faint 3rd screen over a grey field  mundane ,10.22930166938626,-11.664967951093614,3
3rd screen  mundane,8.173687019021699,4.457553991574364,4
3rd screen  mundane,-21.603804392919617,-14.751725493684727,13
looking at fast flashing lights at top third of 2nd screen sent me momentarily into a more vivid 3rd screen ,-9.447100924879049,-11.878992659574768,5
3D colour wash pulling away from me in spirals of magenta and blue ,4.784228479839764,14.786462550469828,0
no longer sleepy,-16.22091424545126,5.423270808329365,1
unlatch (still eyes closed),-6.613867188402995,-15.17468841997284,11
setting intention ,2.9399309726355565,10.62306974072412,4
begin session ,21.761178365327527,2.427512430845047,10
almost fear-like piti  feels like being ripped away. j7 flavor ,7.204918986964791,-18.66334391843116,2
body rocking rapidly side to side ,-12.080755419747344,-15.419430780670424,7
just got hit in the face by the field - a shudder/wham near right ear,9.924118879671347,1.4117948330154302,4
 j4 flavour with very mild lingering piti in the hands,-1.220032720750839,-12.24983874481817,7
attempting to launch into jhana (rather messy results),3.393528202480372,-11.05342357642561,3
setting intention,17.479635000421254,1.0599128031365677,18
start session ,9.19232441642866,4.586555679631078,3
wanting to do a technique other than doing nothing. mind searching for other techniques ,19.47294231471307,19.494364420659423,6
fast blinky lights top third of visuals - ice blue or yellow ,2.9197801481625407,-3.774485835337905,13
setting intention ,4.450989855893706,24.2472874053811,8
start session ,-5.849619121025792,11.760092466186125,5
physical release left side of body ,-9.99957386393815,-9.114100073325602,5
hyper vivid 3D visuals. over-patterning   over vibrancy in colour (like those 60 FPS movies that look so real  they look fake),-3.781107696152638,5.131929104437218,5
focusing on 3D vibrations swirling in space. eyes gently pulsing ,2.8699755855320364,3.3989897404489446,4
watching vibrations in 3D space makes the visual background tilt sideways  like a ship lurching to one side,18.580967120272955,3.1976002952323097,18
trying games with visual perspective seeing as how the visual field is lurching back and forth ,11.601352456470345,-7.372348701192073,3
mild sense of sympathetic lurching or swaying inside the body in response to the entire visual field tilting,15.228025945018995,3.014968001962876,3
deliberately tuning into sounds ,-12.461455082808476,16.654052299275115,9
